g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
11,20,8,3,11,600,,16,0.008533,13,5878,3
11,20,8,4,11,600,,20,0.011028,9,6126,9
11,20,8,5,11,600,,19,0.002803,14,956,5
11,20,8,6,11,600,,15,0.000597,1,89,1
11,20,8,7,11,600,,14,0.007718,25,2355,8
11,20,8,8,11,600,,24,0.009610,24,2244,8
11,20,9,1,11,600,,0,0.000051,1,18,1
11,20,9,2,11,600,,12,0.000193,1,42,1
11,20,9,3,11,600,,19,0.001443,8,569,4
11,20,9,4,11,600,Unsolvable,,0.000253,0,2,1
11,20,9,5,11,600,,9,0.004110,14,1198,8
11,20,9,6,11,600,,17,0.007784,14,2756,8
11,20,9,7,11,600,,17,0.010467,27,4030,8
11,20,9,8,11,600,,21,0.011724,34,2883,8
11,20,9,9,11,600,,19,0.013296,32,2713,9
11,20,10,1,11,600,,14,0.000153,1,34,1
11,20,10,2,11,600,,8,0.000231,1,34,1
11,20,10,3,11,600,,17,0.003830,7,2193,4
11,20,10,4,11,600,,15,0.064603,84,45324,4
11,20,10,5,11,600,,12,0.005595,15,1878,7
11,20,10,6,11,600,,16,0.048831,99,31268,6
11,20,10,7,11,600,,16,5.457162,10438,3396259,7
11,20,10,8,11,600,,14,0.018938,97,6729,8
11,20,10,9,11,600,,19,0.043895,258,14733,9
11,20,10,10,11,600,,20,0.028568,92,5692,10
